[2026-03-15 21:01:32] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_cec2017_formal_high_woa\cec2017_batch_results.mat
[2026-03-15 21:13:34] DONE: F3 | PSO | run 21 | best=3.000000e+02 | time=0.896s
[2026-03-15 21:13:36] DONE: F3 | PSO | run 22 | best=3.000000e+02 | time=0.877s
[2026-03-15 21:13:37] DONE: F3 | PSO | run 23 | best=3.000000e+02 | time=0.880s
[2026-03-15 21:13:38] DONE: F3 | PSO | run 24 | best=3.000000e+02 | time=0.882s
[2026-03-15 21:13:39] DONE: F3 | PSO | run 25 | best=3.000000e+02 | time=0.883s
[2026-03-15 21:13:40] DONE: F3 | PSO | run 26 | best=3.000000e+02 | time=0.881s
[2026-03-15 21:13:42] DONE: F3 | PSO | run 27 | best=3.000000e+02 | time=0.876s
[2026-03-15 21:13:43] DONE: F3 | PSO | run 28 | best=3.000000e+02 | time=0.883s
[2026-03-15 21:13:44] DONE: F3 | PSO | run 29 | best=3.000000e+02 | time=0.883s
[2026-03-15 21:13:45] DONE: F3 | PSO | run 30 | best=3.000000e+02 | time=0.915s
[2026-03-15 21:13:46] Block finished: F3 | PSO | done=30 | failed=0
[2026-03-15 21:13:46] Entering block: F3 | GWO
[2026-03-15 21:13:47] DONE: F3 | GWO | run 1 | best=9.179769e+04 | time=1.243s
[2026-03-15 21:13:48] DONE: F3 | GWO | run 2 | best=9.290523e+04 | time=1.238s
[2026-03-15 21:13:50] DONE: F3 | GWO | run 3 | best=8.683825e+04 | time=1.237s
[2026-03-15 21:13:52] DONE: F3 | GWO | run 4 | best=9.335763e+04 | time=1.236s
[2026-03-15 21:13:53] DONE: F3 | GWO | run 5 | best=9.496770e+04 | time=1.249s
[2026-03-15 21:13:55] DONE: F3 | GWO | run 6 | best=9.538162e+04 | time=1.230s
[2026-03-15 21:13:56] DONE: F3 | GWO | run 7 | best=9.202209e+04 | time=1.244s
[2026-03-15 21:13:58] DONE: F3 | GWO | run 8 | best=9.243173e+04 | time=1.239s
[2026-03-15 21:14:00] DONE: F3 | GWO | run 9 | best=9.243173e+04 | time=1.231s
[2026-03-15 21:14:01] DONE: F3 | GWO | run 10 | best=9.290523e+04 | time=1.235s
[2026-03-15 21:14:03] DONE: F3 | GWO | run 11 | best=9.243173e+04 | time=1.268s
[2026-03-15 21:14:05] DONE: F3 | GWO | run 12 | best=8.386305e+04 | time=1.229s
[2026-03-15 21:14:06] DONE: F3 | GWO | run 13 | best=9.179769e+04 | time=1.238s
[2026-03-15 21:14:08] DONE: F3 | GWO | run 14 | best=9.243173e+04 | time=1.235s
[2026-03-15 21:14:09] DONE: F3 | GWO | run 15 | best=8.386305e+04 | time=1.245s
[2026-03-15 21:14:11] DONE: F3 | GWO | run 16 | best=9.202209e+04 | time=1.245s
[2026-03-15 21:14:13] DONE: F3 | GWO | run 17 | best=8.386305e+04 | time=1.240s
[2026-03-15 21:14:14] DONE: F3 | GWO | run 18 | best=9.320821e+04 | time=1.229s
[2026-03-15 21:14:16] DONE: F3 | GWO | run 19 | best=9.410466e+04 | time=1.238s
[2026-03-15 21:14:18] DONE: F3 | GWO | run 20 | best=9.243173e+04 | time=1.225s
[2026-03-15 21:14:19] DONE: F3 | GWO | run 21 | best=8.386305e+04 | time=1.231s
[2026-03-15 21:14:21] DONE: F3 | GWO | run 22 | best=9.202209e+04 | time=1.240s
[2026-03-15 21:14:22] DONE: F3 | GWO | run 23 | best=8.828171e+04 | time=1.245s
[2026-03-15 21:14:24] DONE: F3 | GWO | run 24 | best=9.640201e+04 | time=1.233s
[2026-03-15 21:14:26] DONE: F3 | GWO | run 25 | best=9.243173e+04 | time=1.256s
[2026-03-15 21:14:27] DONE: F3 | GWO | run 26 | best=9.243173e+04 | time=1.228s
[2026-03-15 21:14:29] DONE: F3 | GWO | run 27 | best=9.243173e+04 | time=1.246s
[2026-03-15 21:14:30] DONE: F3 | GWO | run 28 | best=9.172592e+04 | time=1.253s
