[2026-03-22 16:52:16] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_comparison_formal_20260322_165216\fair_init\uav_comparison_results.mat
[2026-03-22 17:36:08] DONE: Scene 1 | FAEAE | run 22 | best=296.112501 | time=68.234s
[2026-03-22 17:37:16] DONE: Scene 1 | FAEAE | run 23 | best=295.363754 | time=68.561s
[2026-03-22 17:38:25] DONE: Scene 1 | FAEAE | run 24 | best=302.784915 | time=68.469s
[2026-03-22 17:39:33] DONE: Scene 1 | FAEAE | run 25 | best=297.575498 | time=67.848s
[2026-03-22 17:40:39] DONE: Scene 1 | FAEAE | run 26 | best=325.118794 | time=65.730s
[2026-03-22 17:41:46] DONE: Scene 1 | FAEAE | run 27 | best=308.084962 | time=67.143s
[2026-03-22 17:42:55] DONE: Scene 1 | FAEAE | run 28 | best=301.333114 | time=68.590s
[2026-03-22 17:44:03] DONE: Scene 1 | FAEAE | run 29 | best=300.207068 | time=67.997s
[2026-03-22 17:45:10] DONE: Scene 1 | FAEAE | run 30 | best=292.850824 | time=67.025s
[2026-03-22 17:45:10] Block finished: Scene 1 | FAEAE | done=30 | failed=0
[2026-03-22 17:45:10] Entering block: Scene 2 | AE
[2026-03-22 17:45:17] DONE: Scene 2 | AE | run 1 | best=307.417014 | time=6.892s
[2026-03-22 17:45:24] DONE: Scene 2 | AE | run 2 | best=2606.152583 | time=6.854s
[2026-03-22 17:45:31] DONE: Scene 2 | AE | run 3 | best=3589.704030 | time=6.880s
[2026-03-22 17:45:38] DONE: Scene 2 | AE | run 4 | best=1691.472668 | time=6.837s
[2026-03-22 17:45:45] DONE: Scene 2 | AE | run 5 | best=2486.557711 | time=6.883s
[2026-03-22 17:45:52] DONE: Scene 2 | AE | run 6 | best=365.336157 | time=6.918s
[2026-03-22 17:45:59] DONE: Scene 2 | AE | run 7 | best=1095.356638 | time=6.902s
[2026-03-22 17:46:06] DONE: Scene 2 | AE | run 8 | best=340.071525 | time=6.885s
[2026-03-22 17:46:13] DONE: Scene 2 | AE | run 9 | best=1240.322150 | time=6.923s
[2026-03-22 17:46:20] DONE: Scene 2 | AE | run 10 | best=1077.400988 | time=6.839s
[2026-03-22 17:46:27] DONE: Scene 2 | AE | run 11 | best=1084.193556 | time=6.854s
[2026-03-22 17:46:34] DONE: Scene 2 | AE | run 12 | best=313.322983 | time=6.823s
[2026-03-22 17:46:41] DONE: Scene 2 | AE | run 13 | best=1888.473833 | time=6.863s
[2026-03-22 17:46:48] DONE: Scene 2 | AE | run 14 | best=348.914850 | time=6.854s
[2026-03-22 17:46:55] DONE: Scene 2 | AE | run 15 | best=2766.761906 | time=6.881s
[2026-03-22 17:47:02] DONE: Scene 2 | AE | run 16 | best=355.960417 | time=6.859s
[2026-03-22 17:47:09] DONE: Scene 2 | AE | run 17 | best=309.220901 | time=6.904s
[2026-03-22 17:47:16] DONE: Scene 2 | AE | run 18 | best=314.919728 | time=6.908s
[2026-03-22 17:47:23] DONE: Scene 2 | AE | run 19 | best=321.823178 | time=6.871s
[2026-03-22 17:47:30] DONE: Scene 2 | AE | run 20 | best=1218.908953 | time=6.896s
[2026-03-22 17:47:37] DONE: Scene 2 | AE | run 21 | best=310.426010 | time=6.866s
[2026-03-22 17:47:44] DONE: Scene 2 | AE | run 22 | best=345.350919 | time=6.850s
