[2026-03-16 16:31:17] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_6alg_formal_safe\uav_comparison_results.mat
[2026-03-16 16:45:56] DONE: Scene 1 | HHO | run 24 | best=309.158035 | time=8.512s
[2026-03-16 16:46:04] DONE: Scene 1 | HHO | run 25 | best=378.856745 | time=8.332s
[2026-03-16 16:46:13] DONE: Scene 1 | HHO | run 26 | best=344.786776 | time=8.596s
[2026-03-16 16:46:21] DONE: Scene 1 | HHO | run 27 | best=428.644202 | time=8.378s
[2026-03-16 16:46:30] DONE: Scene 1 | HHO | run 28 | best=373.915904 | time=8.389s
[2026-03-16 16:46:38] DONE: Scene 1 | HHO | run 29 | best=318.315777 | time=8.411s
[2026-03-16 16:46:47] DONE: Scene 1 | HHO | run 30 | best=353.263421 | time=8.365s
[2026-03-16 16:46:47] Block finished: Scene 1 | HHO | done=30 | failed=0
[2026-03-16 16:46:47] Entering block: Scene 1 | WOA
[2026-03-16 16:46:54] DONE: Scene 1 | WOA | run 1 | best=541.780178 | time=6.551s
[2026-03-16 16:47:00] DONE: Scene 1 | WOA | run 2 | best=1026.379482 | time=6.619s
[2026-03-16 16:47:07] DONE: Scene 1 | WOA | run 3 | best=777.488638 | time=6.588s
[2026-03-16 16:47:14] DONE: Scene 1 | WOA | run 4 | best=455.950384 | time=6.538s
[2026-03-16 16:47:20] DONE: Scene 1 | WOA | run 5 | best=977.559088 | time=6.518s
[2026-03-16 16:47:27] DONE: Scene 1 | WOA | run 6 | best=446.152723 | time=6.524s
[2026-03-16 16:47:33] DONE: Scene 1 | WOA | run 7 | best=325.571075 | time=6.529s
[2026-03-16 16:47:40] DONE: Scene 1 | WOA | run 8 | best=349.650820 | time=6.609s
[2026-03-16 16:47:47] DONE: Scene 1 | WOA | run 9 | best=546.129684 | time=6.529s
[2026-03-16 16:47:53] DONE: Scene 1 | WOA | run 10 | best=589.064584 | time=6.541s
[2026-03-16 16:48:00] DONE: Scene 1 | WOA | run 11 | best=446.075511 | time=6.551s
[2026-03-16 16:48:07] DONE: Scene 1 | WOA | run 12 | best=354.860189 | time=6.526s
[2026-03-16 16:48:13] DONE: Scene 1 | WOA | run 13 | best=351.944397 | time=6.555s
[2026-03-16 16:48:20] DONE: Scene 1 | WOA | run 14 | best=592.339811 | time=6.600s
[2026-03-16 16:48:27] DONE: Scene 1 | WOA | run 15 | best=951.160241 | time=6.549s
[2026-03-16 16:48:33] DONE: Scene 1 | WOA | run 16 | best=544.701070 | time=6.602s
[2026-03-16 16:48:40] DONE: Scene 1 | WOA | run 17 | best=930.826396 | time=6.521s
[2026-03-16 16:48:47] DONE: Scene 1 | WOA | run 18 | best=538.137568 | time=6.564s
[2026-03-16 16:48:53] DONE: Scene 1 | WOA | run 19 | best=322.247497 | time=6.551s
[2026-03-16 16:49:00] DONE: Scene 1 | WOA | run 20 | best=348.922853 | time=6.554s
[2026-03-16 16:49:07] DONE: Scene 1 | WOA | run 21 | best=518.344922 | time=6.645s
[2026-03-16 16:49:14] DONE: Scene 1 | WOA | run 22 | best=690.890305 | time=6.768s
[2026-03-16 16:49:20] DONE: Scene 1 | WOA | run 23 | best=908.644122 | time=6.526s
[2026-03-16 16:49:27] DONE: Scene 1 | WOA | run 24 | best=330.209639 | time=6.607s
[2026-03-16 16:49:34] DONE: Scene 1 | WOA | run 25 | best=666.359886 | time=6.537s
[2026-03-16 16:49:40] DONE: Scene 1 | WOA | run 26 | best=494.133372 | time=6.595s
[2026-03-16 16:49:47] DONE: Scene 1 | WOA | run 27 | best=886.829884 | time=6.633s
[2026-03-16 16:49:54] DONE: Scene 1 | WOA | run 28 | best=426.761996 | time=6.534s
[2026-03-16 16:50:00] DONE: Scene 1 | WOA | run 29 | best=987.901098 | time=6.590s
[2026-03-16 16:50:07] DONE: Scene 1 | WOA | run 30 | best=950.081485 | time=6.657s
[2026-03-16 16:50:07] Block finished: Scene 1 | WOA | done=30 | failed=0
[2026-03-16 16:50:07] Entering block: Scene 1 | FAEAE
[2026-03-16 16:51:16] DONE: Scene 1 | FAEAE | run 1 | best=295.451637 | time=68.858s
[2026-03-16 16:52:23] DONE: Scene 1 | FAEAE | run 2 | best=321.685417 | time=66.398s
[2026-03-16 16:53:41] DONE: Scene 1 | FAEAE | run 3 | best=315.975432 | time=78.526s
[2026-03-16 16:54:53] DONE: Scene 1 | FAEAE | run 4 | best=323.154431 | time=71.621s
[2026-03-16 16:56:06] DONE: Scene 1 | FAEAE | run 5 | best=312.102947 | time=73.269s
[2026-03-16 16:57:14] DONE: Scene 1 | FAEAE | run 6 | best=300.762879 | time=67.869s
[2026-03-16 16:58:28] DONE: Scene 1 | FAEAE | run 7 | best=314.046374 | time=73.614s
[2026-03-16 16:59:45] DONE: Scene 1 | FAEAE | run 8 | best=324.359960 | time=76.954s
[2026-03-16 17:00:53] DONE: Scene 1 | FAEAE | run 9 | best=294.569300 | time=68.024s
[2026-03-16 17:02:01] DONE: Scene 1 | FAEAE | run 10 | best=324.339178 | time=67.665s
[2026-03-16 17:03:09] DONE: Scene 1 | FAEAE | run 11 | best=304.318337 | time=67.638s
[2026-03-16 17:04:17] DONE: Scene 1 | FAEAE | run 12 | best=294.797708 | time=68.219s
[2026-03-16 17:05:25] DONE: Scene 1 | FAEAE | run 13 | best=311.881841 | time=67.781s
[2026-03-16 17:06:32] DONE: Scene 1 | FAEAE | run 14 | best=299.776606 | time=66.989s
[2026-03-16 17:07:42] DONE: Scene 1 | FAEAE | run 15 | best=299.395543 | time=69.873s
[2026-03-16 17:08:49] DONE: Scene 1 | FAEAE | run 16 | best=320.881338 | time=67.085s
[2026-03-16 17:09:57] DONE: Scene 1 | FAEAE | run 17 | best=303.353300 | time=67.604s
[2026-03-16 17:11:05] DONE: Scene 1 | FAEAE | run 18 | best=303.859062 | time=68.493s
[2026-03-16 17:12:14] DONE: Scene 1 | FAEAE | run 19 | best=298.724722 | time=67.953s
[2026-03-16 17:13:22] DONE: Scene 1 | FAEAE | run 20 | best=300.043383 | time=68.249s
