[2026-03-13 10:13:27] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_cec2017_formal\cec2017_batch_results.mat
[2026-03-13 10:14:14] DONE: F1 | HHO | run 14 | best=6.883031e+07 | time=0.096s
[2026-03-13 10:14:14] DONE: F1 | HHO | run 15 | best=1.005010e+08 | time=0.095s
[2026-03-13 10:14:14] DONE: F1 | HHO | run 16 | best=1.329058e+08 | time=0.097s
[2026-03-13 10:14:15] DONE: F1 | HHO | run 17 | best=1.831453e+08 | time=0.097s
[2026-03-13 10:14:15] DONE: F1 | HHO | run 18 | best=7.321795e+07 | time=0.094s
[2026-03-13 10:14:15] DONE: F1 | HHO | run 19 | best=1.030821e+08 | time=0.096s
[2026-03-13 10:14:15] DONE: F1 | HHO | run 20 | best=1.116733e+08 | time=0.097s
[2026-03-13 10:14:16] DONE: F1 | HHO | run 21 | best=1.966090e+08 | time=0.099s
[2026-03-13 10:14:16] DONE: F1 | HHO | run 22 | best=1.078547e+08 | time=0.096s
[2026-03-13 10:14:16] DONE: F1 | HHO | run 23 | best=1.455971e+08 | time=0.095s
[2026-03-13 10:14:16] DONE: F1 | HHO | run 24 | best=8.535234e+07 | time=0.095s
[2026-03-13 10:14:17] DONE: F1 | HHO | run 25 | best=1.453657e+08 | time=0.098s
[2026-03-13 10:14:17] DONE: F1 | HHO | run 26 | best=1.801951e+08 | time=0.098s
[2026-03-13 10:14:17] DONE: F1 | HHO | run 27 | best=1.340563e+08 | time=0.094s
[2026-03-13 10:14:17] DONE: F1 | HHO | run 28 | best=1.433662e+08 | time=0.095s
[2026-03-13 10:14:18] DONE: F1 | HHO | run 29 | best=1.192364e+08 | time=0.098s
[2026-03-13 10:14:18] DONE: F1 | HHO | run 30 | best=9.964409e+07 | time=0.095s
[2026-03-13 10:14:18] Block finished: F1 | HHO | done=30 | failed=0
[2026-03-13 10:14:18] Entering block: F1 | FAEAE
[2026-03-13 10:14:19] DONE: F1 | FAEAE | run 1 | best=1.239700e+08 | time=0.708s
[2026-03-13 10:14:20] DONE: F1 | FAEAE | run 2 | best=1.098288e+08 | time=0.710s
[2026-03-13 10:14:21] DONE: F1 | FAEAE | run 3 | best=1.230701e+08 | time=0.707s
[2026-03-13 10:14:21] DONE: F1 | FAEAE | run 4 | best=8.095104e+07 | time=0.710s
[2026-03-13 10:14:22] DONE: F1 | FAEAE | run 5 | best=1.200916e+08 | time=0.745s
[2026-03-13 10:14:23] DONE: F1 | FAEAE | run 6 | best=1.036166e+08 | time=0.706s
[2026-03-13 10:14:24] DONE: F1 | FAEAE | run 7 | best=1.055924e+08 | time=0.708s
[2026-03-13 10:14:25] DONE: F1 | FAEAE | run 8 | best=1.013979e+08 | time=0.717s
[2026-03-13 10:14:26] DONE: F1 | FAEAE | run 9 | best=1.312239e+08 | time=0.699s
[2026-03-13 10:14:27] DONE: F1 | FAEAE | run 10 | best=9.267217e+07 | time=0.715s
[2026-03-13 10:14:28] DONE: F1 | FAEAE | run 11 | best=1.013215e+08 | time=0.731s
[2026-03-13 10:14:29] DONE: F1 | FAEAE | run 12 | best=1.007748e+08 | time=0.845s
[2026-03-13 10:14:30] DONE: F1 | FAEAE | run 13 | best=1.158427e+08 | time=0.843s
[2026-03-13 10:14:31] DONE: F1 | FAEAE | run 14 | best=1.104093e+08 | time=0.766s
[2026-03-13 10:14:31] DONE: F1 | FAEAE | run 15 | best=1.023601e+08 | time=0.752s
[2026-03-13 10:14:32] DONE: F1 | FAEAE | run 16 | best=1.138133e+08 | time=0.728s
[2026-03-13 10:14:33] DONE: F1 | FAEAE | run 17 | best=9.683263e+07 | time=0.727s
