[2026-03-20 20:52:13] Starting new batch: results_cec2017_ablation_formal_high\cec_ablation_batch_results.mat
[2026-03-20 22:54:54] DONE: F3 | AE+Init+AOS | run 16 | best=3.002348e+02 | time=7.006s
[2026-03-20 22:55:01] DONE: F3 | AE+Init+AOS | run 17 | best=3.002380e+02 | time=6.967s
[2026-03-20 22:55:08] DONE: F3 | AE+Init+AOS | run 18 | best=3.002061e+02 | time=7.019s
[2026-03-20 22:55:15] DONE: F3 | AE+Init+AOS | run 19 | best=3.002087e+02 | time=7.030s
[2026-03-20 22:55:22] DONE: F3 | AE+Init+AOS | run 20 | best=3.002351e+02 | time=6.948s
[2026-03-20 22:55:30] DONE: F3 | AE+Init+AOS | run 21 | best=3.002275e+02 | time=6.998s
[2026-03-20 22:55:37] DONE: F3 | AE+Init+AOS | run 22 | best=3.001888e+02 | time=6.980s
[2026-03-20 22:55:44] DONE: F3 | AE+Init+AOS | run 23 | best=3.002298e+02 | time=6.981s
[2026-03-20 22:55:51] DONE: F3 | AE+Init+AOS | run 24 | best=3.002364e+02 | time=6.972s
[2026-03-20 22:55:58] DONE: F3 | AE+Init+AOS | run 25 | best=3.002095e+02 | time=7.017s
[2026-03-20 22:56:06] DONE: F3 | AE+Init+AOS | run 26 | best=3.002200e+02 | time=7.089s
[2026-03-20 22:56:13] DONE: F3 | AE+Init+AOS | run 27 | best=3.002362e+02 | time=6.994s
[2026-03-20 22:56:20] DONE: F3 | AE+Init+AOS | run 28 | best=3.002179e+02 | time=7.026s
[2026-03-20 22:56:27] DONE: F3 | AE+Init+AOS | run 29 | best=3.002298e+02 | time=6.988s
[2026-03-20 22:56:34] DONE: F3 | AE+Init+AOS | run 30 | best=3.002261e+02 | time=7.016s
[2026-03-20 22:56:35] Block finished: F3 | AE+Init+AOS | done=30 | failed=0
[2026-03-20 22:56:35] Entering block: F3 | AE+Init+AOS+Repair
[2026-03-20 22:56:42] DONE: F3 | AE+Init+AOS+Repair | run 1 | best=8.842037e+02 | time=7.286s
[2026-03-20 22:56:49] DONE: F3 | AE+Init+AOS+Repair | run 2 | best=1.015393e+03 | time=7.248s
[2026-03-20 22:56:57] DONE: F3 | AE+Init+AOS+Repair | run 3 | best=1.103513e+03 | time=7.360s
[2026-03-20 22:57:04] DONE: F3 | AE+Init+AOS+Repair | run 4 | best=9.089866e+02 | time=7.270s
