[2026-03-16 21:09:28] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_scene4_formal_rerun\uav_comparison_results.mat
[2026-03-16 21:27:52] DONE: Scene 4 | WOA | run 19 | best=1745.345072 | time=7.220s
[2026-03-16 21:28:00] DONE: Scene 4 | WOA | run 20 | best=2125.616520 | time=7.319s
[2026-03-16 21:28:07] DONE: Scene 4 | WOA | run 21 | best=433.036679 | time=7.300s
[2026-03-16 21:28:15] DONE: Scene 4 | WOA | run 22 | best=1767.286014 | time=7.270s
[2026-03-16 21:28:22] DONE: Scene 4 | WOA | run 23 | best=1534.025852 | time=7.196s
[2026-03-16 21:28:29] DONE: Scene 4 | WOA | run 24 | best=1273.032781 | time=7.206s
[2026-03-16 21:28:36] DONE: Scene 4 | WOA | run 25 | best=1490.156051 | time=7.267s
[2026-03-16 21:28:44] DONE: Scene 4 | WOA | run 26 | best=1722.738626 | time=7.220s
[2026-03-16 21:28:51] DONE: Scene 4 | WOA | run 27 | best=1459.227448 | time=7.271s
[2026-03-16 21:28:58] DONE: Scene 4 | WOA | run 28 | best=1536.846620 | time=7.250s
[2026-03-16 21:29:06] DONE: Scene 4 | WOA | run 29 | best=1631.991744 | time=7.290s
[2026-03-16 21:29:13] DONE: Scene 4 | WOA | run 30 | best=2093.668491 | time=7.350s
[2026-03-16 21:29:13] Block finished: Scene 4 | WOA | done=30 | failed=0
[2026-03-16 21:29:13] Entering block: Scene 4 | FAEAE
[2026-03-16 21:30:53] DONE: Scene 4 | FAEAE | run 1 | best=315.427093 | time=99.201s
[2026-03-16 21:32:33] DONE: Scene 4 | FAEAE | run 2 | best=312.711278 | time=99.957s
[2026-03-16 21:34:20] DONE: Scene 4 | FAEAE | run 3 | best=313.005273 | time=107.536s
[2026-03-16 21:36:01] DONE: Scene 4 | FAEAE | run 4 | best=314.708252 | time=100.399s
[2026-03-16 21:37:36] DONE: Scene 4 | FAEAE | run 5 | best=315.039826 | time=95.560s
[2026-03-16 21:39:30] DONE: Scene 4 | FAEAE | run 6 | best=315.866479 | time=113.437s
[2026-03-16 21:41:07] DONE: Scene 4 | FAEAE | run 7 | best=315.321024 | time=96.564s
[2026-03-16 21:42:56] DONE: Scene 4 | FAEAE | run 8 | best=316.027222 | time=109.625s
[2026-03-16 21:44:41] DONE: Scene 4 | FAEAE | run 9 | best=312.873847 | time=104.569s
[2026-03-16 21:46:17] DONE: Scene 4 | FAEAE | run 10 | best=313.548727 | time=95.604s
[2026-03-16 21:48:01] DONE: Scene 4 | FAEAE | run 11 | best=313.502313 | time=104.476s
[2026-03-16 21:49:50] DONE: Scene 4 | FAEAE | run 12 | best=313.419228 | time=108.543s
[2026-03-16 21:51:43] DONE: Scene 4 | FAEAE | run 13 | best=321.141687 | time=112.676s
